proteinlist_fc_heatmap_16,fc_16h.c.names_up..names_down..
Histone-H3,2.645619932
Cytokeratin-19,1.736961584
PAR,1.544596793
PAI-1,1.218075721
CD171,0.98275773
DM-Histone-H3,0.764896743
BiP-GRP78,0.66607279
HSP27_pS82,0.665083903
Gab2,0.663848937
c-Jun_pS73,0.634098073
LC3A-B,0.630946701
SLC1A5,0.592483248
U-Histone-H2B,0.51441221
ER-a_pS118,0.512588627
Claudin-7,0.510337116
Annexin-I,0.470763177
Wee1,0.463077584
Caspase-8-cleaved,0.454780384
VHL-EPPK1,0.447769421
GCLC,0.445148452
IR-b,0.440697469
Myosin-IIa_pS1943,0.440310671
Akt1_pS473,0.439891503
Hexokinase-II,0.431798732
Caspase-7-cleaved-,0.431004544
p90RSK_pT573,0.412886395
Wee1_pS642,0.394278323
YB1_pS102,0.389465114
LAD1,0.388703937
Caspase-3,0.384421879
MIG6,0.350431669
H2AX_pS140,0.340700427
TFAM,0.333094795
GSK-3b_pS9,0.331827634
GRB7,0.325556364
IRS2,0.315571358
Caspase-3-cleaved,0.306899522
MCT4,0.285739531
CD4,0.273429152
NDRG1_pT346,0.267318831
MAPK_pT202_Y204,0.266558263
MelanA,0.261221153
HSP60,0.255168778
SHP2,0.255031969
p38-MAPK-_pT180_Y182,0.241548738
MTCO1,0.24091403
p21,0.233370398
Glutaminase,0.232294592
Akt2_pS474,0.230169168
Chk1_pS345,0.221550487
EPHA2,0.219595708
CDKN2A,0.216774572
ER-a,0.206119883
PKC-b-II_pS660,0.201835102
PKCa,0.200168815
b-Actin,-0.200583911
4E-BP1_pS65,-0.200987371
DVL3,-0.202330784
Cyclin-E1,-0.207159599
PKA-a,-0.207610804
MYH11,-0.20762325
XPA,-0.21326775
S100A4,-0.219590547
Akt,-0.226023247
Stat3,-0.24042438
ATRX,-0.243458562
ERRalpha,-0.245949859
Cyclin-D3,-0.249134012
p38-MAPK,-0.249580474
Cox-IV,-0.254489916
PRAS40_pT246,-0.266944351
ATM,-0.275387357
Pdcd4,-0.280051722
Coup-TFII,-0.280159977
4E-BP1_pT37_T46,-0.280921184
DNMT1,-0.284151891
FOXM1,-0.289751058
HMHA1,-0.292188112
Cyclin-B1,-0.292622909
Notch1,-0.29650015
PTEN,-0.303580156
GAPDH,-0.305580027
Mitofusin-1,-0.317837434
p70-S6K_pT389,-0.323097868
LDHA,-0.325911428
EMA,-0.336617366
Hif-1-alpha,-0.340060501
TAZ,-0.352662625
Rad51,-0.358110103
WIPI2,-0.370366561
eEF2K,-0.376310989
PLK1,-0.461504133
Rb_pS807_S811,-0.499385601
S6_pS240_S244,-0.597526862
